Country,Factionalized_elites,Inequality_adjusted_HDI,Electoral_Process_and_pluralism,Freedom_expression,Hapiness_index,Public_Services,State_legitimacy
Pakistan,9,0.38,5.67,0.59,4.934,2.3,2.6
Panama,2.2,0.64,9.58,0.82,6.18,4.9,6.8
Paraguay,7.8,0.582,8.75,0.75,5.653,4,3.3
Peru,7.4,0.635,8.75,0.83,5.84,2.9,3.1
Philippines,8,0.574,9.17,0.6,5.88,3.5,2.9
Poland,4.2,0.816,9.17,0.63,6.166,6.7,6
Portugal,2.5,0.773,9.58,0.96,5.929,6.8,9.2
Republic of the Congo,6.7,0.432,0,0.35,5.342,1,0.9
Romania,5.7,0.733,9.17,0.92,6.14,4.7,5.3
Russia,8.4,0.751,1.75,0.28,5.477,6,1.4
Rwanda,8,0.402,1.42,0.24,3.415,3,3.3
Senegal,7,0.354,5.67,0.93,5.132,2.4,6.3
Serbia,8.6,0.72,8.25,0.4,6.078,5.8,4.2
Sierra Leone,7.8,0.309,6.58,0.86,3.849,1.1,4.6
Singapore,4,0.817,4.83,0.32,6.377,8.8,6.3
Slovakia,4.7,0.803,9.58,0.95,6.331,7.1,6.5
Slovenia,2,0.878,9.58,0.73,6.461,7.3,8.3
South Africa,6.8,0.471,7.42,0.87,4.956,3.1,3.6
South Korea,3.9,0.838,9.58,0.95,5.845,7.3,7.3
Spain,6.9,0.788,9.58,0.89,6.491,6.8,3.4
Sri Lanka,9.1,0.676,7,0.64,4.325,5,4
Sudan,9.6,0.336,0,0.49,4.082,1.1,0.699999999999999
Sweden,1.8,0.885,9.58,0.97,7.363,8.9,9.4
Switzerland,1,0.894,9.58,0.98,7.571,8.1,9.7
Tajikistan,8.4,0.599,0,0.17,5.466,5,0.699999999999999
Tanzania,6.5,0.418,4.83,0.61,3.623,1.6,2.6
Thailand,9.7,0.686,7,0.41,5.985,6.3,2.2
Togo,7.6,0.372,0.92,0.61,4.107,1.8,2.1
Tunisia,7.2,0.588,7.5,0.86,4.596,5.3,4
Turkey,8.8,0.717,3.5,0.19,4.948,4.9,2.7
Turkmenistan,7.8,0.619,0,0.04,5.066,5.6,0.199999999999999
United Kingdom,5.8,0.85,9.58,0.94,7.064,7.7,6.7
United States of America,7.3,0.819,9.17,0.92,6.951,7.5,5.5
Uganda,8.9,0.396,3.42,0.57,4.636,1.7,1.5
Ukraine,8,0.726,8.25,0.71,4.875,5.7,3.5
Uruguay,2.7,0.71,10,0.9,6.431,6.5,9.6
Uzbekistan,8.8,0.638,0.08,0.24,6.179,5.7,0.800000000000001
Venezuela,9.4,0.592,0,0.27,4.892,1.4,0.4
Vietnam,6.9,0.602,0,0.18,5.411,6,1.7
Yemen,10,0.307,0,0.14,3.658,0.0999999999999996,0.0999999999999996
Zambia,5.9,0.39,7.5,0.69,4.073,2.2,2.8
Zimbabwe,9.9,0.458,0,0.45,3.145,1.3,1.1
